Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,acne,age,bright,bh,red,tex,barrier,hyper
Moisturizer,LA MER,Crème de la Mer,175,4.1,"seaweed,petrolatum,petrolatum,glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract,sesame,eucalyptus,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin,vite, Niacin,, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol,citric, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral,,alcohol denat,fragrance",2,2,2,0,0,0,2,2,2,2,2,2,2
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol,,, Methylparaben, Sorbic Acid.",0,0,0,0,1,1,1,1,1,1,1,1,1
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,", Dicaprylyl Carbonate,glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil,soy, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes , Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60,glycolic, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol,vite,, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract.",2,2,2,0,0,0,2,2,2,2,2,2,2
Moisturizer,LA MER,The Moisturizing Soft Cream,175,3.8,"seaweed, Cyclopentasiloxane,petrolatum, Glyceryl Distearate, Phenyl Trimethicone, Butylene Glycol, Hydrogenated Vegetable Oil, Cholesterol, Butyrospermum Parkii (Shea Butter), Steareth-10,dimethicone, Glyceryl Stearate Se, Polysilicone-11,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond,eucalyptus, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate,vite, Niacin,sesame,, Citrus Aurantifolia (Lime) Peel Extract, Laminaria Digitata Extract, Crithmum Maritimum Extract, Salicornia Herbacea Extract, Plankton Extract, Chlorella Vulgaris Extract,soy,glycerin, Caffeine, Sea Salt/Maris Sal/Sel Marin, Micrococcus Lysate, Diethylhexyl Succinate, Adenosine Phosphate, Creatine, Hydrolyzed Algin, Isocetyl Stearoyl Stearate, Cetyl Alcohol, Sucrose, Acetyl Hexapeptide-8, Glucose Oxidase, Polyacrylamide, Acetyl Carnitine Hcl, Glucose,capric triglyceride, C13-14 Isoparaffin,vite,vitc, Sodium Pca, Glycosaminoglycans, Urea, Distearyldimonium Chloride, Dipalmitoyl Hydroxyproline, Sodium Hyaluronate, Laureth-7, Lecithin, Trehalose, Polyquaternium-51, Lactoperoxidase, Hydroxypropyl Cyclodextrin, Cyanocobalamin, Pentylene Glycol,fragrance, Disodium Edta, Bht, Citronellol, Hydroxycitronellal, Geraniol, Linalool, Limonene,, Phenoxyethanol",2,2,2,0,0,0,2,2,1,2,1,2,2
Moisturizer,IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,38,4.1,", Snail Secretion Filtrate, Phenyl Trimethicone,dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate,dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate,dimethicone, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane,glycerin, Citrus Medica Limonum (Lemon) Peel Oil,vite, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil,grapeseedoil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil,avocado,niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol,,lactobacillus, Perfluorohexane,olive,glycerin,eucalyptus,camellia, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract,soy, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20,hyaluronic,oatmeal, Hydrolyzed Silk,citric,,,aloe, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid,vite, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin,vitc, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. May Contain: Iron Oxides (Ci 77492, Ci 77491, Ci 77499).",2,2,2,0,0,0,2,2,2,2,2,2,2
Moisturizer,TATCHA,The Water Cream,68,4.2,",camellia,dimethicone, Propanediol,glycerin,glycerin, Diphenylsiloxy Phenyl Trimethicone, Gold, Belamcanda Chinensis Root Extract, Rosa Multiflora Fruit Extract, Houttuynia Cordata Extract, Sophora Angustifolia Root Extract, Sodium Hyaluronate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Sodium Chloride, Sodium Citrate, Mica,dimethicone,dimethicone,dimethicone, Disodium Edta, Tin Oxide, Titanium Dioxide, Butylene Glycol,glycerin,fragrance, Alcohol, Phenoxyethanol. *Hadasei-3.",2,2,2,0,0,0,2,1,1,2,1,2,1
Moisturizer,DRUNK ELEPHANT,Lala Retro™ Whipped Cream,60,4.2,",glycerin,capric triglyceride, Isopropyl Isostearate,soy, Stearic Acid, Glyceryl Stearate SE, Cetearyl Alcohol, Pentylene Glycol, Plantago Lanceolata Leaf Extract, Adansonia Digitata Seed Oil,, Passiflora Edulis Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Oil, Polyglyceryl-6 Ximenia Americana Seedate, Sodium Hyaluronate Crosspolymer, Ceteareth-20, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide,citric, Carbomer, Xanthan Gum, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol,glycerin",2,2,2,1,0,2,2,2,2,2,2,2,2
Moisturizer,KIEHL'S SINCE 1851,Ultra Facial Cream,29,4.4,",glycerin, Cyclohexasiloxane,squalane, Bis-Peg-18 Methyl Ether Dimethyl Silane, Sucrose Stearate, Stearyl Alcohol, Peg-8 Stearate, Urea, Myristyl Myristate, Pentaerythrityl Tetraethylhexanoate, Prunus Armeniaca Kernel Oil, Phenoxyethanol, Persea Gratissima Oil, Olea Europaea Oil, Oryza Sativa Bran Oil, Cetyl Alcohol, Glyceryl Stearate, Imperata Cylindrica Root Extract, Stearic Acid, Methylparaben, Chlorphenesin, Palmitic Acid, Disodium Edta, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylparaben, Carbomer, Triethanolamine, Prunus Amygdalus Dulcis Oil, Xanthan Gum, Sodium Hydroxide,vite, Pseudoalteromonas Ferment Extract, Hydroxypalmitoyl Sphinganine, Caprylyl Glycol.",2,2,2,0,0,0,2,1,1,2,1,2,1
Moisturizer,LA MER,Little Miss Miracle Limited-Edition Crème de la Mer,325,5.0,"seaweed,petrolatum,petrolatum,glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract,sesame,eucalyptus,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin,vite, Niacin,, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol,citric, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral,,alcohol denat,fragrance",2,2,2,0,0,0,2,2,2,2,2,2,2
Moisturizer,FRESH,Lotus Youth Preserve Moisturizer,45,4.3,",glycerin, Propylene Glycol Dicaprylate/Dicaprate, Pentylene Glycol, Cetearyl Alcohol,capric triglyceride, Cetearyl Isononanoate, Betaine, Polymethyl Methacrylate, Steareth-21, Ficus Carica (Fig) Fruit Extract, Lepidium Meyenii Root Extract, Citrus Limon (Lemon) Peel Oil,cucumber,algae, Nelumbo Nucifera Flower Extract, Hibiscus Esculentus Fruit Extract, Sodium Hyaluronate,vite,vitc,vite, Behenyl Alcohol, Cetearyl Glucoside, Sorbitol,dimethicone, Sodium PCA, Caprylyl Glycol, Carbomer, Tromethamine, Cetyl Alcohol, Stearyl Alcohol, Butylene Glycol, Xanthan Gum, Caramel,citric,, Sorbic Acid, Phenoxyethanol, Limonene, Citral.",2,2,2,0,0,0,2,2,2,2,2,2,2
