id,name,info
0,alcohol,this
1,alcohol denat,this
2,almond,this
3,citric,this
4,eucalyptus,this
5,glycerin,this
6,magnesium,this
7,panthenol,this
8,petrolatum,this
9,seaweed,this
10,sesame,this
11,sulfate,this
12,vite,this
13,zinc,this
14,methylparaben,this
15,thylparaben,this
16,ethanol,this
17,glycolic,this
18,peptide,this
19,sodium hyaluronate,this
20,soy,this
21,amino,this
22,caffeine,this
23,capric triglyceride,this
24,cyclopentasiloxane,this
25,dimethicone,this
26,vitc,this
27,aloe,this
28,avocado,this
29,camellia,this
30,grape,this
31,grapeseedoil,this
32,hyaluronic,this
33,lactobacillus,this
34,niacinamide,this
35,oat,this
36,oatmeal,this
37,olive,this
38,pantothenic,this
39,retinyl,this
40,stearic,this
41,turmeric,this
42,propylparaben,this
43,squalane,this
44,algae,this
45,cucumber,this
46,jojoba,this
47,ceramide,this
48,rubus,this
49,chia,this
50,vitis vinifera,this
51,argan,this
52,honey,this
53,lactic,this
54,allantoin,this
55,ferulic,this
56,licorice,this
57,salicylic,this
58,greentea,this
59,damascena,this
60,cocoa,this
61,butylparaben,this
62,beeswax,this
63,centella asia,this
64,barley,this
65,hordeum vulgare,this
66,sulfur,this
67,zinc oxide,this
68,beta-glucan,this
69,sphingosine,this
70,isododecane,this
71,bakuchiol,this
72,cumin,this
73,ethyl linoleate,this
74,squalene,this
75,arbutin,this
76,borage,this
77,lime pearl,this
78,rosehip,this
79,kaolin,this
80,bentonite,this
81,apricot kernel,this
82,mandelic,this
83,astaxanthin,this
84,phytic,this
85,linseed,this
86,q10,this
87,oxybenzone,this
88,retinol,this
89,lactococcus,this
90,acetic,this
91,witch,this
92,superoxidedis,this
93,caviar,this
94,tartaric,this
95,lauric,this
96,malic,this
97,paraffinum liquidum,this
98,mineral,this
99,marula,this
100,tranexamic acid,this
101,succinic,this
102,marshmallow,this
103,glutathione,this
104,hydrogen peroxide,this
105,resveratrol,this
106,vitamin a,this
107,sulphate,this
108,azulene,this
109,kojic,this
